# key -> sha1(source text)[:10]   game version 1.0.5000.13
BattleDialog/Ch_2_4_9_1_001	6f54ff5bbc
BattleDialog/Ch_2_4_9_1_002	b481923e63
BattleDialog/Ch_2_4_9_1_003	9bb41c61a5
BattleDialog/Ch_2_4_9_1_004	365f01de72
BattleDialog/Ch_2_4_9_1_005	3dcec6d480
BattleDialog/Ch_2_4_9_1_006	41e7714479
BattleDialog/Ch_2_4_9_2_001	686a56d893
BattleDialog/Ch_2_4_9_2_002	04b3743a2f
BattleDialog/Ch_2_4_9_2_003	fc80aaff31
BattleDialog/Ch_2_4_9_2_004	671568cc2e
BattleDialog/Ch_2_4_9_2_005	31c5bc0c46
BattleDialog/Ch_2_4_9_3_001	8e49309785
BattleDialog/Ch_2_4_9_3_002	4bbee1be07
BattleDialog/Ch_2_4_9_3_003	0ad4552bf5
BattleDialog/Ch_2_4_9_3_004	925def699b
BattleDialog/Ch_2_4_9_3_005	5260efe96c
BattleDialog/Ch_2_4_9_3_006	6e65d9e249
BattleDialog/Ch_2_4_9_4_001	9bb41c61a5
BattleDialog/Ch_2_4_9_4_002	365f01de72
BattleDialog/Ch_2_4_9_4_003	3dcec6d480
BattleDialog/Ch_2_4_9_4_004	41e7714479
BattleDialog/Ch_2_4_9_4_005	77cfd59636
BattleDialog/Ch_2_4_9_5_001	30bbb5b09f
BattleDialog/Ch_2_4_9_5_002	db071cf1a5
BattleDialog/Ch_2_4_9_5_003	925def699b
BattleDialog/Ch_2_4_9_5_004	5260efe96c
BattleDialog/Ch_2_4_9_5_005	3366367ed5
BattleDialog/HitPlayer	f754d3c347
BattleDialog/Stone_001	e346e1ebcd
BattleKey/Name/Attack1	e8e87867b5
BattleKey/Name/Attack2	fe9c41147f
BattleKey/Name/Attack3	20340fbd0e
BattleKey/Name/Curse	81a6311880
BattleKey/Name/Dodge	6f67c42ba3
BattleKey/Name/Down	a6caf2effb
BattleKey/Name/Left	df3ee66760
BattleKey/Name/Reset	f7f7807b99
BattleKey/Name/Right	851cdd6091
BattleKey/Name/Setting	6329f21c41
BattleKey/Name/Skill_1	5cbca542a6
BattleKey/Name/Skill_2	bf0ed1702f
BattleKey/Name/Skill_3	11e6197457
BattleKey/Name/Skill_4	7ae8ba1dbf
BattleKey/Name/Up	b967ce841a
BattleSkill/Brother1/Dialog_1_1	29abea2c91
BattleSkill/Brother1/Skill_1	8b6dca1264
BattleSkill/Brother1/Skill_1_1	3e0a5b2455
BattleSkill/Brother1/Skill_1_2	4178c2beb2
BattleSkill/Brother1/Skill_1_3	127c61ab6f
BattleSkill/Brother1/Skill_1_4	a927605750
BattleSkill/Brother1/Skill_1_5	1e6c229ead
BattleSkill/Brother1/Skill_1_6	3b756d7a1d
BattleSkill/Desc/brother1	98f9bd59d1
BattleSkill/Desc/brother2	995843316a
BattleSkill/Desc/brother4	acc8f33d8b
BattleSkill/Desc/girl4	acb1e97d7e
BattleSkill/Desc/girl9	2b1b161e1b
BattleSkill/Desc/player_1	50b2029ded
BattleSkill/Desc/player_block	21487077c1
BattleSkill/Desc/player_shield_1	8e5b0d5fe1
BattleSkill/Desc/sister1_1	37a5e3ba94
BattleSkill/Desc/special3	19b6d2a729
BattleSkill/Format/Name	61ce5a2ceb
BattleSkill/Name/brother1	8b6dca1264
BattleSkill/Name/brother2	2f97ac0248
BattleSkill/Name/brother4	cd3fad9ab6
BattleSkill/Name/girl4	52d21803d1
BattleSkill/Name/girl9	d3f139f6e3
BattleSkill/Name/player_1	6cd70587fd
BattleSkill/Name/player_block	df6f0389b2
BattleSkill/Name/player_shield_1	752d2cd267
BattleSkill/Name/sister1_1	179ebc0b43
BattleSkill/Name/special3	2c5cb83be8
Book/Desc/0000	8436897837
Book/Desc/1000	03ee44e2d3
Book/Desc/1010	29f911f435
Book/Desc/1020	c33bea1391
Book/Desc/1030	bc61dc2ce5
Book/Desc/2000	aa718767b5
Book/Desc/2001	457aa0002f
Book/Desc/2002	06707d39c1
Book/Desc/2003	6f27ab1b32
Book/Desc/2004	76288a97fc
Book/Desc/2005	e603744f28
Book/Desc/2006	05b5d8c969
Book/Desc/2007	b0b409359e
Book/Desc/2008	ae28178f07
Book/Desc/2009	bbad86ce5d
Book/Desc/2010	c46b121be6
Book/Desc/2011	201e3c9598
Book/Desc/2200	ec1b3ecf63
Book/Desc/2300	761c1f87ab
Book/Desc/2301	c1ad316502
Book/Desc/2302	b3e6c56ec1
Book/Desc/2303	ba52efc7f9
Book/Desc/2400	b2c947e272
Book/Desc/2401	c4752bc306
Book/Desc/3000	ce6fcadff7
