# Keys the XUnity dictionary could never hold — translated by hand for the Solution 2 plugin.
# Merged over the joined table by s2_merge.py (these win).
# Terms pinned to the existing dictionary: 决斗=ประลองยุทธ์ 绝招=ท่าไม้ตาย 连击=โจมตีต่อเนื่อง
# 贡献=ค่าอุทิศ 银两/两=ตำลึงเงิน 近战=ประชิด 平射=ยิงตรง 抛射=ยิงโค้ง 捅人=จ้วงแทง
# 揍狗拳=หมัดตีสุนัข 唐门暗器=อาวุธลับสำนักถัง 三师兄=พี่สาม 师弟=ศิษย์น้อง 代掌门=รักษาการเจ้าสำนัก

# ---- single-character values. 97 of these had to be COMMENTED OUT in v1.2 because
#      唐=ถัง partial-substituted into 三师兄. Under key injection there is no text
#      matching at all, so they are trivially safe. Kept short: these are narrow boxes.

# Chinese numerals used for the in-game date (第{0}年 -> "ปีที่ 3")
System/Number_0	0
System/Number_1	1
System/Number_2	2
System/Number_3	3
System/Number_4	4
System/Number_5	5
System/Number_6	6
System/Number_7	7
System/Number_8	8
System/Number_9	9
System/Number_10	10

# battle HUD
System/BattleEnemy	ศัตรู
System/BattleFriend	เรา
System/BattleLose	แพ้
System/BattleVictory	ชนะ
System/Money	เงิน
System/Money2	ตำลึง
System/NA	ไม่มี

# vertically stacked two-character buttons — each half is one box
System/BattleStartText_01	ออก
System/BattleStartText_02	ศึก
System/DeleteText_01	ลบ
System/DeleteText_02	ทิ้ง
System/SaveText_01	บัน
System/SaveText_02	ทึก
System/Title/Alchemy_01	ปรุง
System/Title/Alchemy_02	ยา
System/Title/Develop_01	พัฒ
System/Title/Develop_02	นา
System/Title/Forge_01	ตี
System/Title/Forge_02	เหล็ก
System/Title/Training_01	ฝึก
System/Title/Training_02	ฝน
System/Title/Buy_01	ซื้อ
System/Title/Sell_01	ขาย

# movement keys
BattleKey/Name/Up	บน
BattleKey/Name/Down	ล่าง
BattleKey/Name/Left	ซ้าย
BattleKey/Name/Right	ขวา

# 唐门暗器总纲 — one skill name spread over six stacked boxes
