#dict_line	n_speakers	speaker_tags	names	gender
3703	1	trainee341	全真弟子	M?
3718	1	trainee341	全真弟子	M?
4137	2	brother3|sister1	唐升|唐默铃	MIX
4957	21	brother3|girl2|girl4|girl5|girl7|girl9|master|player|player_young|sister1|special102|special104|special201|special3_1|special802|special815|special999|trainee1|trainee121|trainee122|trainee312	唐升|叶云裳|龙湘|虞小梅|郁竹|上官萤|唐中翎|赵活|少年赵活|唐默铃|南宫深|南宫横|邹博|斗笠人|辛儒|石夫人|瑞笙|唐门弟子|泥教弟子|泥教弟子|青城弟子	MIX
4965	18	beggar1|brother1|brother2|brother3|brother4|girl2|girl6|girl7|girl9|master|player|special3|special405|special800|special808|special834|trainee1|trainee2	乞丐|唐布衣|唐铮|唐升|唐惟元|叶云裳|夏侯兰|郁竹|上官萤|唐中翎|赵活|叶云舟|申屠龙|宋悲|解无尘|段智秀|唐门弟子|唐门弟子	MIX
4972	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
4973	3	brother2|player|special102	唐铮|赵活|南宫深	M?
5143	2	dog1|special4	狗|樊啸天	M?
5187	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
5282	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
5382	1	girl2	叶云裳	F
5383	2	sister1|special820	唐默铃|第三香	MIX
5423	5	brother1|player|sister1|special820|trainee494	唐布衣|赵活|唐默铃|第三香|锦香弟子	MIX
