<size\=24>对不住，四师兄，我们打你，是为你好。</size>	<size\=24>ขออภัยด้วยเถิด พี่สี่ ที่พวกเราทำร้ายท่าน ก็เพื่อประโยชน์ของท่านเองเจ้าค่ะ</size>
<size\=24>对耶！</size>	<size\=24>ใช่แล้วนี่!</size>
<size\=24>对，多得师弟你提醒，还用上了传音入密的内功。</size>	<size\=24>ใช่ ต้องขอบใจศิษย์น้องที่เตือน ถึงได้ใช้วิชากำลังภายในส่งเสียงเข้าหูลับนี้ขึ้นมาขอรับ</size>
<size\=24>对，贫道便是混世魔王座下童子，你别大声嚷嚷给我添乱。</size><size\=24>段公子登场在即，此刻你便当着他的面跑，他也追不了你，要跑快跑！</size>	<size\=24>ใช่ อาตมาคือเด็กรับใช้ใต้บัลลังก์มารราชาป่วนโลก เจ้าอย่าตะโกนโหวกเหวกสร้างความวุ่นวายให้อาตมาเลย</size><size\=24>คุณชายตวนกำลังจะปรากฏตัวในไม่ช้า ตอนนี้เจ้าวิ่งต่อหน้าเขาไปเลย เขาก็ไล่เจ้าไม่ทันหรอก จะวิ่งก็รีบวิ่งไปเถิด!</size>
<size\=24>小、小师妹，你，你听这位少侠所言，意下如何？</size><size\=24>呼哧……呼哧……我看是不太妥。</size>	<size\=24>ศิ...ศิษย์น้องคนเล็ก เจ้า...เจ้าได้ยินคำพูดของท่านยุวชนยอดฝีมือผู้นี้แล้ว เห็นเป็นเช่นไร?</size><size\=24>หอบ...หอบ...ข้าน้อยเห็นว่าไม่ค่อยเหมาะสมนัก</size>
<size\=24>小女子来日相夫，必助夫君成材。</size>	<size\=24>วันหน้าเมื่อข้าได้เป็นภรรยาคอยช่วยเหลือท่านสามี ข้าจะช่วยให้ท่านเป็นผู้มีความสามารถให้จงได้เจ้าค่ะ</size>
<size\=24>小妹自然肯的。</size>	<size\=24>ข้าเต็มใจอยู่แล้วเจ้าค่ะ</size>
<size\=24>小师妹在向我招手，真可爱。</size>	<size\=24>ศิษย์น้องคนเล็กกำลังโบกมือเรียกข้าน้อยอยู่ น่ารักจริงๆ</size>
<size\=24>小师妹，你看这人如何？</size>	<size\=24>ศิษย์น้องคนเล็ก เจ้าเห็นผู้นี้เป็นเช่นไร?</size>
<size\=24>小师妹，大公子从小浸淫书香，身怀大义，</size><size\=24>曾领袖群侠抵抗魔教侵攻，这才学、品德、功绩都没话说。</size><size\=24>我再考他，也无甚意义，但要不问，又好像不大公平。</size>	<size\=24>ศิษย์น้องคนเล็ก คุณชายคนโตหมกมุ่นกับการศึกษาเล่าเรียนมาแต่เด็ก ทั้งยังมีคุณธรรมอันยิ่งใหญ่อยู่ในตัว</size><size\=24>เขาเคยเป็นผู้นำเหล่าจอมยุทธ์ต้านทานการรุกรานของลัทธิมาร ทั้งความรู้ คุณธรรม และผลงาน ล้วนไม่มีที่ติ</size><size\=24>ต่อให้ข้าน้อยทดสอบเขาต่อไปก็ไม่มีความหมายอันใด แต่หากไม่ถามเลย ก็ดูจะไม่ยุติธรรมนัก</size>
<size\=24>小师妹，我看名册，大公子就是最后一位压轴了。</size><size\=24>他文武全才，琴棋书画四艺皆通，家财万贯，可能没有更好的了。</size><size\=24>你再这样心不在焉，就没人啦。</size>	<size\=24>ศิษย์น้องคนเล็ก ข้าน้อยดูในทำเนียบรายชื่อแล้ว คุณชายคนโตเป็นคนสุดท้ายซึ่งถือเป็นไม้เด็ดเลยทีเดียว</size><size\=24>เขาเพียบพร้อมทั้งบุ๋นและบู๊ ทั้งดนตรี หมากรุก อักษรศิลป์ และภาพวาด สี่ศิลปะล้วนเชี่ยวชาญ ทั้งทรัพย์สินก็มากมายมหาศาล คงยากจะหาใครดีไปกว่านี้อีกแล้ว</size><size\=24>หากเจ้ายังใจลอยเช่นนี้ต่อไป ก็จะไม่มีใครเหลือให้เลือกแล้วนะ</size>
