<size\=50>不怕！不怕！</size>	<size\=50>ไม่กลัว! ไม่กลัว!</size>
<size\=50>不怕！！</size>	<size\=50>ไม่กลัว!!</size>
<size\=50>不！</size>	<size\=50>ไม่!</size>
<size\=50>不！不……不好了！师兄！</size>	<size\=50>ไม่! ไม่...ไม่ดีแล้ว! พี่ศิษย์!</size>
<size\=50>且慢！</size>	<size\=50>ช้าก่อน!</size>
<size\=50>且慢！！</size>	<size\=50>ช้าก่อน!!</size>
<size\=50>两个贱女人！！</size>	<size\=50>หญิงต่ำช้าทั้งสอง!!</size>
<size\=50>云裳！真的是你！</size>	<size\=50>หวินฉาง! เจ้าจริงๆ ด้วย!</size>
<size\=50>人呢！！</size>	<size\=50>คนอยู่ไหน!!</size>
<size\=50>什么鬼！！</size>	<size\=50>นี่มันอะไรกัน!!</size>
<size\=50>什么！</size>	<size\=50>อะไรนะ!</size>
<size\=50>什么！？</size>	<size\=50>อะไรกัน!?</size>
<size\=50>什么？！</size>	<size\=50>อะไรกัน?!</size>
<size\=50>什么？！！</size>	<size\=50>อะไรกัน?!!</size>
<size\=50>今日到会的各位江湖朋友！</size>	<size\=50>เหล่ามิตรยุทธภพทุกท่านที่มาร่วมในวันนี้!</size>
<size\=50>众位唐门的师兄弟也听我一言，</size><size\=50>且听我说的在不在理！</size>	<size\=50>เหล่าพี่น้องศิษย์สำนักถังทั้งหลาย จงฟังข้าพูดสักคำ</size><size\=50>แล้วฟังดูว่าที่ข้าพูดมีเหตุผลหรือไม่!</size>
<size\=50>众将听令，宣朕旨意，纵放所有擒住的刺客。</size>	<size\=50>ทหารทั้งหลายจงฟังบัญชา ประกาศพระราชโองการของข้า ปล่อยตัวนักฆ่าที่จับกุมมาทั้งหมด</size>
<size\=50>住口！！</size>	<size\=50>หุบปาก!!</size>
<size\=50>你、你说啥！</size>	<size\=50>เจ้า...เจ้าพูดว่าอะไรนะ!</size>
<size\=50>你不要过来啊！！</size>	<size\=50>อย่าเข้ามานะ!!</size>
<size\=50>你在我摊边组织了一支魔王军哎！！</size>	<size\=50>เจ้ามาตั้งกองทัพจอมมารไว้ข้างแผงข้าเนี่ยนะ!!</size>
<size\=50>你怎么能说这种话！</size>	<size\=50>เจ้าพูดคำแบบนี้ได้อย่างไร!</size>
<size\=50>你说什么！？</size>	<size\=50>เจ้าพูดว่าอะไรนะ!?</size>
<size\=50>你说啥？！</size>	<size\=50>เจ้าพูดว่าอะไรนะ?!</size>
<size\=50>俺是男的！俺是──男的！！汪汪汪汪汪！</size>	<size\=50>ข้าเป็นชาย! ข้าเป็น──ชาย!! โฮ่งๆๆๆๆ!</size>
