<size\=50>闭嘴！！</size>	<size\=50>หุบปาก!!</size>
<size\=50>闲杂人等，尽速退去，再赶逗留，休怪朕天威轰顶！</size>	<size\=50>ผู้ใดไม่เกี่ยวข้อง จงรีบถอยไปเสีย หากยังบังอาจพัวพันอยู่ต่อ อย่าโทษว่าเดชานุภาพแห่งเราจะถล่มลงมา!</size>
<size\=50>阿妹你岸上走～阿哥我水里游～</size>	<size\=50>น้องเอ๋ยเจ้าเดินอยู่บนฝั่ง～พี่นี้ว่ายอยู่ในน้ำ～</size>
<size\=50>隐居山中的蒙面前辈！</size>	<size\=50>รุ่นพี่ผู้สวมหน้ากากที่หลบซ่อนตัวอยู่ในภูเขา!</size>
<size\=50>青城子弟听着！</size>	<size\=50>ศิษย์ชิงเฉิงทั้งหลาย ฟังให้ดี!</size>
<size\=50>青城弟子听着！</size>	<size\=50>ศิษย์ชิงเฉิงทั้งหลาย ฟังให้ดี!</size>
<size\=50>青城弟子恭聆掌门法谕！！</size>	<size\=50>ศิษย์ชิงเฉิงทั้งหลาย จงสดับฟังบัญชาของเจ้าสำนักด้วยความเคารพ!!</size>
<size\=50>非礼呀啊啊啊啊──！</size>	<size\=50>ช่วยด้วย มีคนลวนลามอาาาา──!</size>
<size\=50>风紧！扯呼！</size>	<size\=50>ลมแรงแล้ว! เผ่นเร็ว!</size>
<size\=50>鬼呀！！</size>	<size\=50>ผีนี่หว่า!!</size>
<size\=50>魏才女英明！</size>	<size\=50>ท่านหญิงเว่ยผู้ปรีชาสามารถ ช่างฉลาดหลักแหลมยิ่งนัก!</size>
<size\=50>！！</size>	<size\=50>!!</size>
<size\=50>？！</size>	<size\=50>?!</size>
<size\=60>不怕！</size>	<size\=60>ไม่กลัว!</size>
<size\=60>中原正道侠士，江陵守城将领都听着！</size>	<size\=60>เหล่าจอมยุทธ์ฝ่ายธรรมะแห่งจงหยวน และเหล่าขุนพลผู้รักษาเมืองเจียงหลิง จงฟังไว้!</size>
<size\=60>中原武林诸位侠士的武功，王某今日算是领教了。</size>	<size\=60>วิทยายุทธ์ของเหล่าจอมยุทธ์แห่งยุทธจักรจงหยวน วันนี้ข้าหวางก็ถือว่าได้ประจักษ์แล้ว</size>
<size\=60>事情已有决断，改日再来拜访！</size>	<size\=60>เรื่องราวก็ได้ข้อสรุปแล้ว วันหลังจะแวะมาเยือนใหม่!</size>
<size\=60>二──！</size>	<size\=60>สอง──!</size>
<size\=60>二师兄！！</size>	<size\=60>พี่รอง!!</size>
